scenario,seed,n,model,AUROC,PR_AUC,Brier
wbv_positive,76,1500,LogisticRegression,0.8186,0.6207,0.1748
wbv_positive,77,1500,LogisticRegression,0.8137,0.6147,0.1766
wbv_positive,78,1500,LogisticRegression,0.8483,0.6458,0.1604
wbv_positive,79,1500,LogisticRegression,0.8113,0.6154,0.178
wbv_positive,80,1500,LogisticRegression,0.8287,0.612,0.1709
wbv_positive,81,1500,LogisticRegression,0.8334,0.6439,0.1679
wbv_positive,82,1500,LogisticRegression,0.8201,0.6192,0.1741
wbv_positive,83,1500,LogisticRegression,0.8407,0.6638,0.1629
wbv_positive,84,1500,LogisticRegression,0.8467,0.6584,0.1606
wbv_positive,85,1500,LogisticRegression,0.8284,0.6064,0.1715
wbv_positive,86,1500,LogisticRegression,0.8342,0.6491,0.1669
wbv_positive,87,1500,LogisticRegression,0.8215,0.6382,0.1731
wbv_positive,88,1500,LogisticRegression,0.8151,0.6037,0.1756
wbv_positive,89,1500,LogisticRegression,0.841,0.6506,0.1627
wbv_positive,90,1500,LogisticRegression,0.8397,0.6611,0.1622
wbv_positive,91,1500,LogisticRegression,0.8497,0.676,0.1587
wbv_positive,92,1500,LogisticRegression,0.8255,0.6354,0.1706
wbv_positive,93,1500,LogisticRegression,0.8273,0.6289,0.1708
wbv_positive,94,1500,LogisticRegression,0.8317,0.6552,0.165
wbv_positive,95,1500,LogisticRegression,0.8489,0.6639,0.1577
wbv_positive,96,1500,LogisticRegression,0.8392,0.6484,0.1644
wbv_positive,97,1500,LogisticRegression,0.8325,0.6389,0.1661
wbv_positive,98,1500,LogisticRegression,0.8315,0.6516,0.1671
wbv_positive,99,1500,LogisticRegression,0.8065,0.6158,0.1796
wbv_positive,100,1500,LogisticRegression,0.8391,0.6125,0.1663
